"Per Pupil Expenditures by Function (District), 2023-24"
"All Districts"
"Notes:"
"Expenditures exclude food services not funded by local funds, debt, capital (other than equipment), adult education, community services, and state contributions to Teachers' Retirement."
"All amounts include regular and special education."
"This report is based upon data reported by school districts; questions concerning report data should be addressed to the school district."

"Pupil Basis: 1 = Enrollment plus outplaced pupils, 2 = Enrollment in district schools, 3 = Total pupils transported"

"District","District Code","Function","Expenditures","Pupils","Pupil Basis","PPE"
"South Windsor School District","=""1320011""","Central and other support services","$3,737,552",5002,2,"$747"
"South Windsor School District","=""1320011""","Operation and maintenance of plant","$7,601,230",5002,2,"$1,520"
"South Windsor School District","=""1320011""","Student transportation services","$4,583,749",3932,3,"$1,166"
"South Windsor School District","=""1320011""","Food services","$0",5002,2,"$0"
"South Windsor School District","=""1320011""","Enterprise operations","$0",5002,2,"$0"
"South Windsor School District","=""1320011""","Minor school construction","N/A","N/A","N/A","N/A"
"South Windsor School District","=""1320011""","Total","$95,298,073",5231,1,"$18,218"
"Southington School District","=""1310011""","Instruction","$75,798,819",6329,1,"$11,976"
"Southington School District","=""1310011""","Support services - students","$11,519,530",6202,2,"$1,857"
"Southington School District","=""1310011""","Support services - instruction","$3,260,782",6202,2,"$526"
"Southington School District","=""1310011""","Support services - general administration","$4,997,413",6202,2,"$806"
"Southington School District","=""1310011""","Support services - school based administration","$6,694,045",6202,2,"$1,079"
"Southington School District","=""1310011""","Central and other support services","$845,190",6202,2,"$136"
"Southington School District","=""1310011""","Operation and maintenance of plant","$10,029,491",6202,2,"$1,617"
"Southington School District","=""1310011""","Student transportation services","$5,798,242",3629,3,"$1,598"
"Southington School District","=""1310011""","Food services","$0",6202,2,"$0"
"Southington School District","=""1310011""","Enterprise operations","$1,087,522",6202,2,"$175"
"Southington School District","=""1310011""","Minor school construction","N/A","N/A","N/A","N/A"
"Southington School District","=""1310011""","Total","$120,031,034",6329,1,"$18,965"
"Sprague School District","=""1330011""","Instruction","$5,971,823",420,1,"$14,219"
"Sprague School District","=""1330011""","Support services - students","$285,576",284,2,"$1,006"
"Sprague School District","=""1330011""","Support services - instruction","$157,782",284,2,"$556"
"Sprague School District","=""1330011""","Support services - general administration","$241,999",284,2,"$852"
"Sprague School District","=""1330011""","Support services - school based administration","$259,255",284,2,"$913"
"Sprague School District","=""1330011""","Central and other support services","$179,533",284,2,"$632"
"Sprague School District","=""1330011""","Operation and maintenance of plant","$408,449",284,2,"$1,438"
"Sprague School District","=""1330011""","Student transportation services","$730,300",446,3,"$1,637"
"Sprague School District","=""1330011""","Food services","$0",284,2,"$0"
"Sprague School District","=""1330011""","Enterprise operations","$0",284,2,"$0"
"Sprague School District","=""1330011""","Minor school construction","N/A","N/A","N/A","N/A"
"Sprague School District","=""1330011""","Total","$8,234,717",420,1,"$19,606"
"Stafford School District","=""1340011""","Instruction","$16,418,808",1366,1,"$12,020"
"Stafford School District","=""1340011""","Support services - students","$2,535,327",1310,2,"$1,935"
"Stafford School District","=""1340011""","Support services - instruction","$2,213,796",1310,2,"$1,690"
"Stafford School District","=""1340011""","Support services - general administration","$576,867",1310,2,"$440"
"Stafford School District","=""1340011""","Support services - school based administration","$2,394,397",1310,2,"$1,828"
"Stafford School District","=""1340011""","Central and other support services","$2,113,762",1310,2,"$1,614"
"Stafford School District","=""1340011""","Operation and maintenance of plant","$3,198,182",1310,2,"$2,441"
"Stafford School District","=""1340011""","Student transportation services","$2,551,299",1182,3,"$2,158"
"Stafford School District","=""1340011""","Food services","$0",1310,2,"$0"
"Stafford School District","=""1340011""","Enterprise operations","$0",1310,2,"$0"
"Stafford School District","=""1340011""","Minor school construction","N/A","N/A","N/A","N/A"
"Stafford School District","=""1340011""","Total","$32,002,437",1366,1,"$23,428"
"Stamford Charter School for Excellence District","=""2960013""","Instruction","$3,334,283",540,1,"$6,175"
"Stamford Charter School for Excellence District","=""2960013""","Support services - students","$716,307",540,2,"$1,326"
"Stamford Charter School for Excellence District","=""2960013""","Support services - instruction","$77,639",540,2,"$144"
"Stamford Charter School for Excellence District","=""2960013""","Support services - general administration","$12,590",540,2,"$23"
"Stamford Charter School for Excellence District","=""2960013""","Support services - school based administration","$983,516",540,2,"$1,821"
"Stamford Charter School for Excellence District","=""2960013""","Central and other support services","$0",540,2,"$0"
"Stamford Charter School for Excellence District","=""2960013""","Operation and maintenance of plant","$915,526",540,2,"$1,695"
"Stamford Charter School for Excellence District","=""2960013""","Student transportation services","$5,708",1,3,"$5,708"
"Stamford Charter School for Excellence District","=""2960013""","Food services","$0",540,2,"$0"
"Stamford Charter School for Excellence District","=""2960013""","Enterprise operations","$13,098",540,2,"$24"
"Stamford Charter School for Excellence District","=""2960013""","Minor school construction","N/A","N/A","N/A","N/A"
"Stamford Charter School for Excellence District","=""2960013""","Total","$6,058,667",540,1,"$11,220"
"Stamford School District","=""1350011""","Instruction","$241,007,580",16432,1,"$14,667"
"Stamford School District","=""1350011""","Support services - students","$24,854,777",16219,2,"$1,532"
"Stamford School District","=""1350011""","Support services - instruction","$11,339,520",16219,2,"$699"
"Stamford School District","=""1350011""","Support services - general administration","$11,016,202",16219,2,"$679"
"Stamford School District","=""1350011""","Support services - school based administration","$22,652,314",16219,2,"$1,397"
"Stamford School District","=""1350011""","Central and other support services","$7,722,070",16219,2,"$476"
"Stamford School District","=""1350011""","Operation and maintenance of plant","$39,324,917",16219,2,"$2,425"
"Stamford School District","=""1350011""","Student transportation services","$23,318,958",14455,3,"$1,613"
"Stamford School District","=""1350011""","Food services","$0",16219,2,"$0"
"Stamford School District","=""1350011""","Enterprise operations","$0",16219,2,"$0"
"Stamford School District","=""1350011""","Minor school construction","N/A","N/A","N/A","N/A"
"Stamford School District","=""1350011""","Total","$381,236,339",16432,1,"$23,201"
"Sterling School District","=""1360011""","Instruction","$6,399,858",461,1,"$13,883"
"Sterling School District","=""1360011""","Support services - students","$128,139",319,2,"$402"
"Sterling School District","=""1360011""","Support services - instruction","$467,436",319,2,"$1,465"
"Sterling School District","=""1360011""","Support services - general administration","$311,237",319,2,"$976"
"Sterling School District","=""1360011""","Support services - school based administration","$397,042",319,2,"$1,245"
"Sterling School District","=""1360011""","Central and other support services","$157,548",319,2,"$494"
"Sterling School District","=""1360011""","Operation and maintenance of plant","$627,679",319,2,"$1,968"
"Sterling School District","=""1360011""","Student transportation services","$722,688",530,3,"$1,364"
"Sterling School District","=""1360011""","Food services","$24,937",319,2,"$78"
"Sterling School District","=""1360011""","Enterprise operations","$80,858",319,2,"$253"
"Sterling School District","=""1360011""","Minor school construction","N/A","N/A","N/A","N/A"
"Sterling School District","=""1360011""","Total","$9,317,421",461,1,"$20,211"
"Stonington School District","=""1370011""","Instruction","$24,890,170",1813,1,"$13,729"
"Stonington School District","=""1370011""","Support services - students","$2,776,955",1749,2,"$1,588"
"Stonington School District","=""1370011""","Support services - instruction","$2,752,415",1749,2,"$1,574"
"Stonington School District","=""1370011""","Support services - general administration","$1,718,046",1749,2,"$982"
"Stonington School District","=""1370011""","Support services - school based administration","$2,330,141",1749,2,"$1,332"
"Stonington School District","=""1370011""","Central and other support services","$1,142,555",1749,2,"$653"
"Stonington School District","=""1370011""","Operation and maintenance of plant","$4,697,377",1749,2,"$2,686"
"Stonington School District","=""1370011""","Student transportation services","$2,627,867",1739,3,"$1,511"
"Stonington School District","=""1370011""","Food services","$0",1749,2,"$0"
"Stonington School District","=""1370011""","Enterprise operations","$3,417,060",1749,2,"$1,954"
"Stonington School District","=""1370011""","Minor school construction","N/A","N/A","N/A","N/A"
"Stonington School District","=""1370011""","Total","$46,352,585",1813,1,"$25,567"
"Stratford School District","=""1380011""","Instruction","$92,220,015",7055,1,"$13,072"
"Stratford School District","=""1380011""","Support services - students","$13,395,094",6685,2,"$2,004"
"Stratford School District","=""1380011""","Support services - instruction","$3,630,141",6685,2,"$543"
"Stratford School District","=""1380011""","Support services - general administration","$1,409,790",6685,2,"$211"
"Stratford School District","=""1380011""","Support services - school based administration","$7,390,471",6685,2,"$1,106"
"Stratford School District","=""1380011""","Central and other support services","$4,491,245",6685,2,"$672"
"Stratford School District","=""1380011""","Operation and maintenance of plant","$15,003,526",6685,2,"$2,244"
"Stratford School District","=""1380011""","Student transportation services","$7,816,025",3385,3,"$2,309"
"Stratford School District","=""1380011""","Food services","$699,133",6685,2,"$105"
"Stratford School District","=""1380011""","Enterprise operations","$1,475,008",6685,2,"$221"
"Stratford School District","=""1380011""","Minor school construction","N/A","N/A","N/A","N/A"
"Stratford School District","=""1380011""","Total","$147,530,448",7055,1,"$20,911"
"Suffield School District","=""1390011""","Instruction","$28,627,027",2076,1,"$13,790"
"Suffield School District","=""1390011""","Support services - students","$3,390,775",2023,2,"$1,676"
"Suffield School District","=""1390011""","Support services - instruction","$885,825",2023,2,"$438"
"Suffield School District","=""1390011""","Support services - general administration","$1,706,568",2023,2,"$844"
"Suffield School District","=""1390011""","Support services - school based administration","$2,466,773",2023,2,"$1,219"
"Suffield School District","=""1390011""","Central and other support services","$50,120",2023,2,"$25"
"Suffield School District","=""1390011""","Operation and maintenance of plant","$3,425,925",2023,2,"$1,693"
"Suffield School District","=""1390011""","Student transportation services","$1,793,807",1608,3,"$1,116"
"Suffield School District","=""1390011""","Food services","$0",2023,2,"$0"
"Suffield School District","=""1390011""","Enterprise operations","$820,782",2023,2,"$406"
"Suffield School District","=""1390011""","Minor school construction","N/A","N/A","N/A","N/A"
"Suffield School District","=""1390011""","Total","$43,167,602",2076,1,"$20,794"
"The Bridge Academy District","=""2690013""","Instruction","$2,538,639",281,1,"$9,034"
"The Bridge Academy District","=""2690013""","Support services - students","$1,125,933",281,2,"$4,007"
"The Bridge Academy District","=""2690013""","Support services - instruction","$135,329",281,2,"$482"
"The Bridge Academy District","=""2690013""","Support services - general administration","$41,364",281,2,"$147"
"The Bridge Academy District","=""2690013""","Support services - school based administration","$823,908",281,2,"$2,932"
"The Bridge Academy District","=""2690013""","Central and other support services","$35,543",281,2,"$126"
"The Bridge Academy District","=""2690013""","Operation and maintenance of plant","$342,159",281,2,"$1,218"
"The Bridge Academy District","=""2690013""","Student transportation services","$25,059",281,3,"$89"
"The Bridge Academy District","=""2690013""","Food services","$0",281,2,"$0"
"The Bridge Academy District","=""2690013""","Enterprise operations","$0",281,2,"$0"
"The Bridge Academy District","=""2690013""","Minor school construction","N/A","N/A","N/A","N/A"
"The Bridge Academy District","=""2690013""","Total","$5,067,934",281,1,"$18,035"
"Thomaston School District","=""1400011""","Instruction","$11,161,541",881,1,"$12,669"
"Thomaston School District","=""1400011""","Support services - students","$1,348,492",773,2,"$1,744"
"Thomaston School District","=""1400011""","Support services - instruction","$238,601",773,2,"$309"
"Thomaston School District","=""1400011""","Support services - general administration","$1,150,080",773,2,"$1,488"
"Thomaston School District","=""1400011""","Support services - school based administration","$1,281,625",773,2,"$1,658"
"Thomaston School District","=""1400011""","Central and other support services","$477,653",773,2,"$618"
"Thomaston School District","=""1400011""","Operation and maintenance of plant","$2,145,099",773,2,"$2,775"
"Thomaston School District","=""1400011""","Student transportation services","$1,126,515",918,3,"$1,227"
"Thomaston School District","=""1400011""","Food services","$0",773,2,"$0"
"Thomaston School District","=""1400011""","Enterprise operations","$229,323",773,2,"$297"
"Thomaston School District","=""1400011""","Minor school construction","N/A","N/A","N/A","N/A"
"Thomaston School District","=""1400011""","Total","$19,158,931",881,1,"$21,747"
"Thompson School District","=""1410011""","Instruction","$13,123,652",913,1,"$14,374"
"Thompson School District","=""1410011""","Support services - students","$1,418,698",867,2,"$1,636"
"Thompson School District","=""1410011""","Support services - instruction","$552,909",867,2,"$638"
"Thompson School District","=""1410011""","Support services - general administration","$663,315",867,2,"$765"
"Thompson School District","=""1410011""","Support services - school based administration","$766,581",867,2,"$884"
"Thompson School District","=""1410011""","Central and other support services","$1,398,913",867,2,"$1,614"
"Thompson School District","=""1410011""","Operation and maintenance of plant","$2,379,917",867,2,"$2,745"
"Thompson School District","=""1410011""","Student transportation services","$1,680,126",873,3,"$1,925"
"Thompson School District","=""1410011""","Food services","$0",867,2,"$0"
"Thompson School District","=""1410011""","Enterprise operations","$0",867,2,"$0"
"Thompson School District","=""1410011""","Minor school construction","N/A","N/A","N/A","N/A"
"Thompson School District","=""1410011""","Total","$21,984,112",913,1,"$24,079"
"Tolland School District","=""1420011""","Instruction","$28,071,190",2268,1,"$12,377"
"Tolland School District","=""1420011""","Support services - students","$3,027,686",2193,2,"$1,381"
"Tolland School District","=""1420011""","Support services - instruction","$1,944,723",2193,2,"$887"
"Tolland School District","=""1420011""","Support services - general administration","$702,094",2193,2,"$320"
"Tolland School District","=""1420011""","Support services - school based administration","$2,142,456",2193,2,"$977"
"Tolland School District","=""1420011""","Central and other support services","$1,311,684",2193,2,"$598"
"Tolland School District","=""1420011""","Operation and maintenance of plant","$4,708,476",2193,2,"$2,147"
"Tolland School District","=""1420011""","Student transportation services","$3,977,489",2271,3,"$1,751"
"Tolland School District","=""1420011""","Food services","$0",2193,2,"$0"
"Tolland School District","=""1420011""","Enterprise operations","$301,537",2193,2,"$137"
"Tolland School District","=""1420011""","Minor school construction","N/A","N/A","N/A","N/A"
"Tolland School District","=""1420011""","Total","$46,187,335",2268,1,"$20,365"
"Torrington School District","=""1430011""","Instruction","$56,562,938",4264,1,"$13,265"
"Torrington School District","=""1430011""","Support services - students","$6,674,804",3893,2,"$1,715"
"Torrington School District","=""1430011""","Support services - instruction","$1,704,795",3893,2,"$438"
"Torrington School District","=""1430011""","Support services - general administration","$2,559,997",3893,2,"$658"
"Torrington School District","=""1430011""","Support services - school based administration","$5,016,809",3893,2,"$1,289"
"Torrington School District","=""1430011""","Central and other support services","$7,319,820",3893,2,"$1,880"
"Torrington School District","=""1430011""","Operation and maintenance of plant","$4,963,753",3893,2,"$1,275"
"Torrington School District","=""1430011""","Student transportation services","$6,042,103",4900,3,"$1,233"
"Torrington School District","=""1430011""","Food services","$0",3893,2,"$0"
"Torrington School District","=""1430011""","Enterprise operations","$0",3893,2,"$0"
"Torrington School District","=""1430011""","Minor school construction","N/A","N/A","N/A","N/A"
"Torrington School District","=""1430011""","Total","$90,845,019",4264,1,"$21,305"
"Trumbull School District","=""1440011""","Instruction","$73,595,147",7047,1,"$10,443"
"Trumbull School District","=""1440011""","Support services - students","$22,355,621",6917,2,"$3,232"
"Trumbull School District","=""1440011""","Support services - instruction","$6,708,049",6917,2,"$970"
"Trumbull School District","=""1440011""","Support services - general administration","$3,059,585",6917,2,"$442"
"Trumbull School District","=""1440011""","Support services - school based administration","$5,383,532",6917,2,"$778"
"Trumbull School District","=""1440011""","Central and other support services","$4,111,474",6917,2,"$594"
"Trumbull School District","=""1440011""","Operation and maintenance of plant","$13,498,819",6917,2,"$1,952"
"Trumbull School District","=""1440011""","Student transportation services","$8,369,104",6235,3,"$1,342"
"Trumbull School District","=""1440011""","Food services","$0",6917,2,"$0"
"Trumbull School District","=""1440011""","Enterprise operations","$0",6917,2,"$0"
"Trumbull School District","=""1440011""","Minor school construction","N/A","N/A","N/A","N/A"
"Trumbull School District","=""1440011""","Total","$137,081,330",7047,1,"$19,452"
"Union School District","=""1450011""","Instruction","$1,154,952",76,1,"$15,197"
"Union School District","=""1450011""","Support services - students","$196,374",51,2,"$3,850"
"Union School District","=""1450011""","Support services - instruction","$101,258",51,2,"$1,985"
"Union School District","=""1450011""","Support services - general administration","$141,383",51,2,"$2,772"
"Union School District","=""1450011""","Support services - school based administration","$0",51,2,"$0"
"Union School District","=""1450011""","Central and other support services","$34,377",51,2,"$674"
"Union School District","=""1450011""","Operation and maintenance of plant","$183,957",51,2,"$3,607"
"Union School District","=""1450011""","Student transportation services","$116,765",80,3,"$1,460"
"Union School District","=""1450011""","Food services","$0",51,2,"$0"
"Union School District","=""1450011""","Enterprise operations","$3,560",51,2,"$70"
"Union School District","=""1450011""","Minor school construction","N/A","N/A","N/A","N/A"
"Union School District","=""1450011""","Total","$1,932,625",76,1,"$25,429"
"Vernon School District","=""1460011""","Instruction","$39,319,787",3471,1,"$11,328"
"Vernon School District","=""1460011""","Support services - students","$7,151,356",3214,2,"$2,225"
"Vernon School District","=""1460011""","Support services - instruction","$2,822,521",3214,2,"$878"
"Vernon School District","=""1460011""","Support services - general administration","$3,086,197",3214,2,"$960"
"Vernon School District","=""1460011""","Support services - school based administration","$3,126,087",3214,2,"$973"
"Vernon School District","=""1460011""","Central and other support services","$901,758",3214,2,"$281"
"Vernon School District","=""1460011""","Operation and maintenance of plant","$6,450,847",3214,2,"$2,007"
"Vernon School District","=""1460011""","Student transportation services","$3,346,825",2488,3,"$1,345"
"Vernon School District","=""1460011""","Food services","$0",3214,2,"$0"
"Vernon School District","=""1460011""","Enterprise operations","$588,526",3214,2,"$183"
"Vernon School District","=""1460011""","Minor school construction","N/A","N/A","N/A","N/A"
"Vernon School District","=""1460011""","Total","$66,793,903",3471,1,"$19,243"
"Voluntown School District","=""1470011""","Instruction","$4,819,959",327,1,"$14,740"
"Voluntown School District","=""1470011""","Support services - students","$594,937",235,2,"$2,532"
"Voluntown School District","=""1470011""","Support services - instruction","$300,802",235,2,"$1,280"
"Voluntown School District","=""1470011""","Support services - general administration","$318,520",235,2,"$1,355"
"Voluntown School District","=""1470011""","Support services - school based administration","$239,051",235,2,"$1,017"
"Voluntown School District","=""1470011""","Central and other support services","$179,450",235,2,"$764"
"Voluntown School District","=""1470011""","Operation and maintenance of plant","$669,975",235,2,"$2,851"
"Voluntown School District","=""1470011""","Student transportation services","$581,883",374,3,"$1,556"
"Voluntown School District","=""1470011""","Food services","$0",235,2,"$0"
"Voluntown School District","=""1470011""","Enterprise operations","$11,456",235,2,"$49"
"Voluntown School District","=""1470011""","Minor school construction","N/A","N/A","N/A","N/A"
"Voluntown School District","=""1470011""","Total","$7,716,033",327,1,"$23,596"
"Wallingford School District","=""1480011""","Instruction","$81,395,756",5371,1,"$15,155"
"Wallingford School District","=""1480011""","Support services - students","$9,137,735",5257,2,"$1,738"
"Wallingford School District","=""1480011""","Support services - instruction","$4,167,012",5257,2,"$793"
"Wallingford School District","=""1480011""","Support services - general administration","$1,940,778",5257,2,"$369"
"Wallingford School District","=""1480011""","Support services - school based administration","$7,037,190",5257,2,"$1,339"
"Wallingford School District","=""1480011""","Central and other support services","$3,803,353",5257,2,"$723"
"Wallingford School District","=""1480011""","Operation and maintenance of plant","$9,878,414",5257,2,"$1,879"
"Wallingford School District","=""1480011""","Student transportation services","$7,051,907",4718,3,"$1,495"
"Wallingford School District","=""1480011""","Food services","$0",5257,2,"$0"
"Wallingford School District","=""1480011""","Enterprise operations","$1,913,637",5257,2,"$364"
"Wallingford School District","=""1480011""","Minor school construction","N/A","N/A","N/A","N/A"
"Wallingford School District","=""1480011""","Total","$126,325,781",5371,1,"$23,520"
"Waterbury School District","=""1510011""","Instruction","$203,474,459",19478,1,"$10,446"
"Waterbury School District","=""1510011""","Support services - students","$10,380,733",18871,2,"$550"
"Waterbury School District","=""1510011""","Support services - instruction","$96,721,956",18871,2,"$5,125"
"Waterbury School District","=""1510011""","Support services - general administration","$12,053,822",18871,2,"$639"
"Waterbury School District","=""1510011""","Support services - school based administration","$13,886,665",18871,2,"$736"
"Waterbury School District","=""1510011""","Central and other support services","$2,066,067",18871,2,"$109"
"Waterbury School District","=""1510011""","Operation and maintenance of plant","$20,217,292",18871,2,"$1,071"
"Waterbury School District","=""1510011""","Student transportation services","$21,420,068",16054,3,"$1,334"
"Waterbury School District","=""1510011""","Food services","$0",18871,2,"$0"
"Waterbury School District","=""1510011""","Enterprise operations","$14,526,430",18871,2,"$770"
"Waterbury School District","=""1510011""","Minor school construction","N/A","N/A","N/A","N/A"
"Waterbury School District","=""1510011""","Total","$394,747,494",19478,1,"$20,266"
"Waterford School District","=""1520011""","Instruction","$36,335,515",2484,1,"$14,628"
"Waterford School District","=""1520011""","Support services - students","$4,591,944",2322,2,"$1,978"
"Waterford School District","=""1520011""","Support services - instruction","$1,881,444",2322,2,"$810"
"Waterford School District","=""1520011""","Support services - general administration","$3,190,112",2322,2,"$1,374"
"Waterford School District","=""1520011""","Support services - school based administration","$2,385,445",2322,2,"$1,027"
"Waterford School District","=""1520011""","Central and other support services","$856,692",2322,2,"$369"
"Waterford School District","=""1520011""","Operation and maintenance of plant","$5,621,936",2322,2,"$2,421"
"Waterford School District","=""1520011""","Student transportation services","$3,221,952",1571,3,"$2,051"
"Waterford School District","=""1520011""","Food services","$0",2322,2,"$0"
"Waterford School District","=""1520011""","Enterprise operations","$1,127,323",2322,2,"$485"
"Waterford School District","=""1520011""","Minor school construction","N/A","N/A","N/A","N/A"
"Waterford School District","=""1520011""","Total","$59,212,364",2484,1,"$23,838"
"Watertown School District","=""1530011""","Instruction","$35,966,364",2751,1,"$13,074"
"Watertown School District","=""1530011""","Support services - students","$3,831,235",2561,2,"$1,496"
"Watertown School District","=""1530011""","Support services - instruction","$434,269",2561,2,"$170"
"Watertown School District","=""1530011""","Support services - general administration","$1,849,062",2561,2,"$722"
"Watertown School District","=""1530011""","Support services - school based administration","$2,907,623",2561,2,"$1,135"
"Watertown School District","=""1530011""","Central and other support services","$1,576,170",2561,2,"$615"
"Watertown School District","=""1530011""","Operation and maintenance of plant","$6,283,275",2561,2,"$2,453"
"Watertown School District","=""1530011""","Student transportation services","$4,199,637",2541,3,"$1,653"
"Watertown School District","=""1530011""","Food services","$0",2561,2,"$0"
"Watertown School District","=""1530011""","Enterprise operations","$0",2561,2,"$0"
"Watertown School District","=""1530011""","Minor school construction","N/A","N/A","N/A","N/A"
"Watertown School District","=""1530011""","Total","$57,047,636",2751,1,"$20,737"
"West Hartford School District","=""1550011""","Instruction","$134,013,799",9668,1,"$13,862"
"West Hartford School District","=""1550011""","Support services - students","$16,674,894",9156,2,"$1,821"
"West Hartford School District","=""1550011""","Support services - instruction","$8,135,371",9156,2,"$889"
"West Hartford School District","=""1550011""","Support services - general administration","$3,992,858",9156,2,"$436"
"West Hartford School District","=""1550011""","Support services - school based administration","$14,890,374",9156,2,"$1,626"
"West Hartford School District","=""1550011""","Central and other support services","$2,649,242",9156,2,"$289"
"West Hartford School District","=""1550011""","Operation and maintenance of plant","$15,817,960",9156,2,"$1,728"
"West Hartford School District","=""1550011""","Student transportation services","$11,629,381",4547,3,"$2,558"
"West Hartford School District","=""1550011""","Food services","$0",9156,2,"$0"
"West Hartford School District","=""1550011""","Enterprise operations","$2,067,121",9156,2,"$226"
"West Hartford School District","=""1550011""","Minor school construction","N/A","N/A","N/A","N/A"
"West Hartford School District","=""1550011""","Total","$209,870,999",9668,1,"$21,708"
"West Haven School District","=""1560011""","Instruction","$99,729,663",6857,1,"$14,544"
"West Haven School District","=""1560011""","Support services - students","$2,483,432",5927,2,"$419"
"West Haven School District","=""1560011""","Support services - instruction","$322,155",5927,2,"$54"
"West Haven School District","=""1560011""","Support services - general administration","$4,894,583",5927,2,"$826"
"West Haven School District","=""1560011""","Support services - school based administration","$3,509,278",5927,2,"$592"
"West Haven School District","=""1560011""","Central and other support services","$857,904",5927,2,"$145"
"West Haven School District","=""1560011""","Operation and maintenance of plant","$7,153,384",5927,2,"$1,207"
"West Haven School District","=""1560011""","Student transportation services","$8,065,420",4997,3,"$1,614"
"West Haven School District","=""1560011""","Food services","$0",5927,2,"$0"
"West Haven School District","=""1560011""","Enterprise operations","$525,217",5927,2,"$89"
"West Haven School District","=""1560011""","Minor school construction","N/A","N/A","N/A","N/A"
"West Haven School District","=""1560011""","Total","$127,541,037",6857,1,"$18,600"
"Westbrook School District","=""1540011""","Instruction","$13,207,280",601,1,"$21,976"
"Westbrook School District","=""1540011""","Support services - students","$683,500",594,2,"$1,151"
"Westbrook School District","=""1540011""","Support services - instruction","$461,115",594,2,"$776"
"Westbrook School District","=""1540011""","Support services - general administration","$771,757",594,2,"$1,299"
"Westbrook School District","=""1540011""","Support services - school based administration","$1,037,266",594,2,"$1,746"
"Westbrook School District","=""1540011""","Central and other support services","$223,037",594,2,"$375"
"Westbrook School District","=""1540011""","Operation and maintenance of plant","$2,180,165",594,2,"$3,670"
"Westbrook School District","=""1540011""","Student transportation services","$900,719",629,3,"$1,432"
"Westbrook School District","=""1540011""","Food services","$75,000",594,2,"$126"
"Westbrook School District","=""1540011""","Enterprise operations","$804,589",594,2,"$1,355"
"Westbrook School District","=""1540011""","Minor school construction","N/A","N/A","N/A","N/A"
"Westbrook School District","=""1540011""","Total","$20,344,426",601,1,"$33,851"
"Weston School District","=""1570011""","Instruction","$33,599,357",2173,1,"$15,462"
"Weston School District","=""1570011""","Support services - students","$4,722,066",2153,2,"$2,193"
"Weston School District","=""1570011""","Support services - instruction","$5,596,244",2153,2,"$2,599"
"Weston School District","=""1570011""","Support services - general administration","$1,289,862",2153,2,"$599"
"Weston School District","=""1570011""","Support services - school based administration","$2,857,131",2153,2,"$1,327"
"Weston School District","=""1570011""","Central and other support services","$642,895",2153,2,"$299"
"Weston School District","=""1570011""","Operation and maintenance of plant","$6,821,316",2153,2,"$3,168"
"Weston School District","=""1570011""","Student transportation services","$2,880,286",2218,3,"$1,299"
"Weston School District","=""1570011""","Food services","$0",2153,2,"$0"
"Weston School District","=""1570011""","Enterprise operations","$1,416,692",2153,2,"$658"
"Weston School District","=""1570011""","Minor school construction","N/A","N/A","N/A","N/A"
"Weston School District","=""1570011""","Total","$59,825,849",2173,1,"$27,531"
"Westport School District","=""1580011""","Instruction","$89,632,781",5345,1,"$16,769"
"Westport School District","=""1580011""","Support services - students","$11,765,483",5309,2,"$2,216"
"Westport School District","=""1580011""","Support services - instruction","$3,615,261",5309,2,"$681"
"Westport School District","=""1580011""","Support services - general administration","$3,071,818",5309,2,"$579"
"Westport School District","=""1580011""","Support services - school based administration","$8,733,968",5309,2,"$1,645"
"Westport School District","=""1580011""","Central and other support services","$3,356,754",5309,2,"$632"
"Westport School District","=""1580011""","Operation and maintenance of plant","$14,106,716",5309,2,"$2,657"
"Westport School District","=""1580011""","Student transportation services","$7,391,619",5191,3,"$1,424"
"Westport School District","=""1580011""","Food services","$0",5309,2,"$0"
"Westport School District","=""1580011""","Enterprise operations","$1,912,153",5309,2,"$360"
"Westport School District","=""1580011""","Minor school construction","N/A","N/A","N/A","N/A"
"Westport School District","=""1580011""","Total","$143,586,553",5345,1,"$26,864"
"Wethersfield School District","=""1590011""","Instruction","$50,423,161",3867,1,"$13,039"
"Wethersfield School District","=""1590011""","Support services - students","$5,332,241",3561,2,"$1,497"
"Wethersfield School District","=""1590011""","Support services - instruction","$1,880,686",3561,2,"$528"
"Wethersfield School District","=""1590011""","Support services - general administration","$572,965",3561,2,"$161"
"Wethersfield School District","=""1590011""","Support services - school based administration","$2,743,945",3561,2,"$771"
"Wethersfield School District","=""1590011""","Central and other support services","$3,645,789",3561,2,"$1,024"
"Wethersfield School District","=""1590011""","Operation and maintenance of plant","$7,371,922",3561,2,"$2,070"
"Wethersfield School District","=""1590011""","Student transportation services","$3,502,853",2301,3,"$1,522"
"Wethersfield School District","=""1590011""","Food services","$0",3561,2,"$0"
"Wethersfield School District","=""1590011""","Enterprise operations","$864,453",3561,2,"$243"
"Wethersfield School District","=""1590011""","Minor school construction","N/A","N/A","N/A","N/A"
"Wethersfield School District","=""1590011""","Total","$76,338,014",3867,1,"$19,741"
"Willington School District","=""1600011""","Instruction","$7,044,873",401,1,"$17,568"
"Willington School District","=""1600011""","Support services - students","$582,731",392,2,"$1,487"
"Willington School District","=""1600011""","Support services - instruction","$295,374",392,2,"$754"
"Willington School District","=""1600011""","Support services - general administration","$330,592",392,2,"$843"
"Willington School District","=""1600011""","Support services - school based administration","$507,789",392,2,"$1,295"
"Willington School District","=""1600011""","Central and other support services","$421,577",392,2,"$1,075"
